RouteNum;Authority;City;Transport;Operator;ValidityPeriods;SpecialDates;RouteTag;RouteType;Commercial;RouteName;Weekdays;RouteID;Entry;RouteStops;Pikas2012.10.7;Datestart
;;;;;;;;B>A;A;Люцинская - ДС Запад-3;1234567;99328;;133383,133387,133389,133384,133385,73866,133344,72403,14606,14607,14868,72620,69517;;
9;;;;6 АП;15981,;;;A>B;A;Серебрянка-9 - з-д ЖБИ;12345;105258;;15795,15796,15799,15801,15804,15806,14510,15618,15619,15295,15296,15297,15620,16040,16042,14826,14625,14713,14747,14748,14749,58367,14784,14785,14786,14787,14788,14789,14792,14793;;d1-d5 - 03.10.2013
;;;;;;;;B>A;A;з-д ЖБИ -  Серебрянка-9;12345;105260;;14793,69288,14791,14794,14820,14821,14822,14823,14750,14751,14752,14753,14824,14825,58378,14828,16041,15343,15344,15345,15346,15621,15622,14508,14509,15805,15803,15802,15800,15798,15797,15795;;
;;;;;;;0.3;C>B;A;Шабаны - з-д ЖБИ;12345;105268;;14747,14748,14749,58367,14784,14785,14786,14787,14788,14789,14792,14793;;
;;;;;;;0.44;D>A2;A;АП 6 -  Серебрянка-9;12345;105265;;14830,15343,14508,14509,15805,15803,15802,15800,15798,15797,15795;;
;;;;;;;0;D>B;A;АП 6 - з-д ЖБИ;12345;105259;;14830,15620,14747,14748,14749,58367,14784,14785,14786,14787,14788,14789,14792,14793;;
9д;;;;;15920,;;;A>B;A;д/с Шабаны - Серебрянка-9;1234567;99617;;14746,14752,14753,14824,14825,58378,14828,16041,15343,15344,15345,15346,15621,15622,14508,14509,15805,15803,15802,15800,15798,15797,15795;;d1-d5 - 03.10.2013<br>d6-d7 - 03.08.2013
;;;;;;;;B>A;A;Серебрянка-9 - д/с Шабаны;1234567;99618;;15795,15796,15799,15801,15804,15806,14510,15618,15619,15295,15296,15297,15620,16040,16042,14826,14625,14713,14746;;
;;;;;;;0;A>D;A;д/с Шабаны - D АП 6;67;99615;;14746,14711;;
;;;;;15981,;;0.62;B2>D;A;Сер-нка-9 - ас Автозаводская-АП 6;12345;105274;;15795,15796,15799,15801,15804,15806,14510,15618,15619,15295,15296,15297,58377,14830;;
;;;;;15920,;;0.47;D>A2;A;D АП 6 - д/с Шабаны;67;99616;;14830,15620,14746;;
;;;;;;;0.61;D>B2;A;D АП 6 - Серебрянка;67;99612;;14830,15343,14508,14509,15805,15803,15802,15800,15798,15797,15795;;
10;;;;2 АП;15894,;;;A>B;A;д/с Дружная - ул. Воронянского;1234567;98393;;15914,15665,15838,15840,14721,14722,15876,15877,15878,15879,15880;;d1-d5 - 08.07.2013<br>d6-d7 - 13.07.2013
